Project,Statistic,p-Value
prometheus-v0.35.0,17.43084658189219,0.0015936813281561125
prometheus-v0.36.0,11.265002904799491,0.02374176782723944
prometheus-v0.37.0,1.5490692162643376,0.8179153660777171
prometheus-v0.38.0,6.74163221414792,0.1501881611679526
prometheus-v0.39.0,2.1377239463661284,0.7104453241200868
toml-v2.0.1,2.564748529821427,0.6330802931217798
toml-v2.0.2,0.5052474018437288,0.9729881374367608
toml-v2.0.3,3.7192285815303743,0.44533541534124244
toml-v2.0.4,3.801825954456075,0.4334896016364086
toml-v2.0.5,6.357108811734953,0.17401930196916415
zap-v1.19.1,0.7548437504511517,0.9443973028749126
zap-v1.20.0,5.282705481655588,0.25950028032619243
zap-v1.21.0,4.813997912535229,0.3069203154324183
zap-v1.22.0,2.0483633775795957,0.7268637927674333
zap-v1.23.0,0.19367144026197097,0.9956033897069662
